"Candidate","House/Senate","State","District","Party","Status","ElectionYear","Gender","GenderVar","PercentWomen"
"LYNCH, WILLIAM J","H","RI","1","DEM","OPEN","2010","male","0","22.666666666666664","democrat"
"LYSENKO, STEFAN (CONTRERAS)","H","CA","32","DEM","OPEN","2010","male","0","20.0","democrat"
"MADDOX, KURT E","H","AR","3","REP","OPEN","2010","male","0","9.0","republican"
"MAGAR, KRISTIAN LEE","H","LA","3","REP","OPEN","2010","female","1","3.8095238095238098","republican"
"MAHONEY, BILLY JOSEPH","H","IN","8","REP","OPEN","2010","male","0","7.000000000000001","republican"
"MALONE, JERRY M","H","KS","3","REP","OPEN","2010","male","0","12.0","republican"
"MALONE, JOSEPH DANIEL","H","MA","10","REP","OPEN","2010","male","0","1.875","republican"
"MALONE, WILLIAM F JR","H","GA","7","REP","OPEN","2010","male","0","6.111111111111111","republican"
"MANDEL, HOWARD C","H","CA","33","DEM","OPEN","2010","male","0","20.0","democrat"
"MANN, GARY DEWITT","H","TN","6","REP","OPEN","2010","male","0","5.05050505050505","republican"
"MANN, TRACEY ROBERT","H","KS","1","REP","OPEN","2010","female","1","12.0","republican"
"MANNINO, LEONARD D JR","H","NH","2","REP","OPEN","2010","male","0","10.5","republican"
"MARCEAUX, BASIL","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"MARSDEN, LES","H","CA","19","DEM","OPEN","2010","male","0","20.0","democrat"
"MASSEY, ANTHONY SHANE","H","SC","3","REP","OPEN","2010","male","0","7.258064516129033","republican"
"MATAYO, DOUG","H","AR","3","REP","OPEN","2010","male","0","9.0","republican"
"MAYHUE, W. PAUL","H","MI","3","DEM","OPEN","2010","male","0","20.0","democrat"
"MCCLURE, NICOLETTE","H","MI","2","DEM","OPEN","2010","female","1","20.0","democrat"
"MCDOWELL, GARY J.","H","MI","1","DEM","OPEN","2010","male","0","20.0","democrat"
"MCGRATH, BRIAN","H","NY","23","DEM","OPEN","2010","male","0","23.333333333333332","democrat"
"MCLELLAN , BRUCE","H","TN","6","REP","OPEN","2010","male","0","5.05050505050505","republican"
"MCPHERSON, CRAIG","H","KS","3","REP","OPEN","2010","male","0","12.0","republican"
"MEEHAN, PATRICK L","H","PA","7","REP","OPEN","2010","male","0","8.866995073891626","republican"
"MEEKS, DAVID MARK EMERSON","H","AR","2","REP","OPEN","2010","male","0","9.0","republican"
"MELL, DEBORAH","H","IL","5","DEM","OPEN","2010","female","1","21.1864406779661","democrat"
"MERCER, LUTHER T II","H","TN","8","DEM","OPEN","2010","male","0","12.121212121212121","democrat"
"MEURICE, LUIS","H","FL","25","DEM","OPEN","2010","male","0","12.5","democrat"
"MIELKE, DANIEL E MR.","H","WI","7","REP","OPEN","2010","male","0","6.0606060606060606","republican"
"MILES, PATRICK A JR","H","MI","3","DEM","OPEN","2010","male","0","20.0","democrat"
"MITCHELL, ALICIA","H","TN","3","DEM","OPEN","2010","female","1","12.121212121212121","democrat"
"MOAK, STEVEN CARL","H","AZ","3","REP","OPEN","2010","male","0","15.0","republican"
"MOISE, RUDOLPH","H","FL","17","DEM","OPEN","2010","male","0","12.5","democrat"
"MOKOLO, PATRICIA EVANS","H","AL","7","DEM","OPEN","2010","female","1","9.523809523809524","democrat"
"MONICA, NICKIE","H","LA","3","REP","OPEN","2010","female","1","3.8095238095238098","republican"
"MONTEAGUDO, CARLOS A","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"MONTOYA, LUIS","H","CA","33","REP","OPEN","2010","male","0","5.0","republican"
"MOON, C MICHAEL","H","MO","7","REP","OPEN","2010","male","0","6.134969325153374","republican"
"MOORE, DARRELL LEE","H","MO","7","REP","OPEN","2010","male","0","6.134969325153374","republican"
"MOORE, MIKE C","H","AR","3","REP","OPEN","2010","male","0","9.0","republican"
"MOORE, STEPHENE ANN","H","KS","3","DEM","OPEN","2010","female","1","16.8","democrat"
"MORRIS, PAULINA VASQUEZ","H","AZ","3","REP","OPEN","2010","female","1","15.0","republican"
"MORRISON, WILLIAM (RODRIGUEZ)","H","CA","32","REP","OPEN","2010","male","0","5.0","republican"
"MOSTERT, NICK JUAN","H","CA","33","DEM","OPEN","2010","male","0","20.0","democrat"
"NADAL, RAFAEL F.","H","CA","32","DEM","OPEN","2010","male","0","20.0","democrat"
"NELSON, TARA E.","H","IN","4","DEM","OPEN","2010","female","1","13.0","democrat"
"NEWELL, FELTON","H","CA","33","DEM","OPEN","2010","male","0","20.0","democrat"
"NODLER, GARY","H","MO","7","REP","OPEN","2010","male","0","6.134969325153374","republican"
"NUGENT, RICHARD B","H","FL","5","REP","OPEN","2010","male","0","11.666666666666666","republican"
"O'CONNOR, PATRICK J.","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"O'LEARY, ROBERT A","H","MA","10","DEM","OPEN","2010","male","0","22.5","democrat"
"OBERMAN, JUSTIN PEREIRA","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"OHARA, CHARLOTTE IRENE","H","KS","3","REP","OPEN","2010","female","1","12.0","republican"
"OVERBEEK, ROBERT JOHN","H","MI","3","REP","OPEN","2010","male","0","5.454545454545454","republican"
"PARKER, CLARK B","H","SC","1","REP","OPEN","2010","male","0","7.258064516129033","republican"
"PARKER, VERNON","H","AZ","3","REP","OPEN","2010","male","0","15.0","republican"
"PARROTT, THOMAS S","H","GA","7","REP","OPEN","2010","male","0","6.111111111111111","republican"
"PATTERSON, NORWOOD JAMES JR","H","CA","19","REP","OPEN","2010","male","0","5.0","republican"
"PERKINS, JAMES JR","H","AL","7","DEM","OPEN","2010","male","0","9.523809523809524","democrat"
"PERRY, JEFFREY DAVIS","H","MA","10","REP","OPEN","2010","male","0","1.875","republican"
"PICCILLO, JAMES JOHN","H","FL","5","DEM","OPEN","2010","male","0","12.5","democrat"
"PLEITZ, EMANUEL","H","CA","32","DEM","OPEN","2010","male","0","20.0","democrat"
"POITIER, COREY B","H","FL","17","REP","OPEN","2010","male","0","11.666666666666666","republican"
"POMBO, RICHARD W","H","CA","19","REP","OPEN","2010","male","0","5.0","republican"
"POMPEO, MICHAEL RICHARD","H","KS","4","REP","OPEN","2010","male","0","12.0","republican"
"PONDER, BEN","H","AR","1","DEM","OPEN","2010","male","0","16.0","democrat"
"POWELL, MARK","H","IN","4","DEM","OPEN","2010","male","0","13.0","democrat"
"PRICE, CURT","H","FL","19","REP","OPEN","2010","male","0","11.666666666666666","republican"
"PRIDEMORE, CRAIG","H","WA","3","DEM","OPEN","2010","male","0","21.428571428571427","democrat"
"QUAYLE, BEN","H","AZ","3","REP","OPEN","2010","male","0","15.0","republican"
"RAIHALA, DON","H","WI","7","DEM","OPEN","2010","male","0","16.161616161616163","democrat"
"RATHBUN, TERRENCE (TERRY)","H","CA","32","REP","OPEN","2010","male","0","5.0","republican"
"REASBECK IV, JOSEPH VINCENT","H","WI","7","DEM","OPEN","2010","male","0","16.161616161616163","democrat"
"REED, THOMAS W II","H","NY","29","REP","OPEN","2010","male","0","4.0","republican"
"REICHARDT, JOHN FIELD","H","MI","2","REP","OPEN","2010","male","0","5.454545454545454","republican"
"REILLY, JOSEPH G.","H","NH","2","REP","OPEN","2010","male","0","10.5","republican"
"RHODES, ARTHUR D","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"RICE, DAVID ALLEN","H","TN","8","REP","OPEN","2010","male","0","5.05050505050505","republican"
"RICE, REX FONTAINE","H","SC","3","REP","OPEN","2010","male","0","7.258064516129033","republican"
"RICHARDSON, ELLIOT","H","IL","10","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"RIEMERSMA, ALLEN JAY","H","MI","2","REP","OPEN","2010","male","0","5.454545454545454","republican"
"RISK, KRISTI","H","IN","8","REP","OPEN","2010","female","1","7.000000000000001","republican"
"RIVERA, DAVID","H","FL","25","REP","OPEN","2010","male","0","11.666666666666666","republican"
"RIVERA, LUIS ANTONIO","H","FL","25","DEM","OPEN","2010","male","0","12.5","democrat"
"ROBERSON, YOLLY","H","FL","17","DEM","OPEN","2010","female","1","12.5","democrat"
"ROBERTS, KERRY EVAN","H","TN","6","REP","OPEN","2010","male","0","5.05050505050505","republican"
"RODRIGUEZ-SALAZAR, MARIA D","H","WA","3","DEM","OPEN","2010","female","1","21.428571428571427","democrat"
"ROKITA, THEODORE EDWARD","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"ROLLINS, MICHELE M","H","DE","0","REP","OPEN","2010","female","1","7.317073170731707","republican"
"ROSE, STEVE","H","KS","3","REP","OPEN","2010","male","0","12.0","republican"
"ROSS, DENNIS ALAN","H","FL","12","REP","OPEN","2010","male","0","11.666666666666666","republican"
"ROY, JOHNNY B","H","OK","5","REP","OPEN","2010","male","0","8.91089108910891","republican"
"RUSSELL, JON DAVID","H","WA","3","REP","OPEN","2010","male","0","8.16326530612245","republican"
"RUSSO, KARA D.","H","RI","1","REP","OPEN","2010","female","1","0.0","republican"
"RUTSCHMAN, PAIJ BORING","H","KS","4","REP","OPEN","2010","female","1","12.0","republican"
"RYSAVY, JOHN TIMOTHY","H","KS","3","REP","OPEN","2010","male","0","12.0","republican"
"SAGER, JASON PATRICK","H","FL","5","REP","OPEN","2010","male","0","11.666666666666666","republican"
"SALTER, CHRIS","H","AL","7","REP","OPEN","2010","male","0","2.857142857142857","republican"
"SALTONSTALL, CONNIE","H","MI","1","DEM","OPEN","2010","female","1","20.0","democrat"
"SANDERS, DAVID AURAM","H","IN","4","DEM","OPEN","2010","male","0","13.0","democrat"
"SANGISETTY, RAVI","H","LA","3","DEM","OPEN","2010","male","0","10.476190476190476","democrat"
"SANTANA, SALVADOR","H","CA","32","REP","OPEN","2010","male","0","5.0","republican"
"SCARBOROUGH, LARRY DEAN","H","CA","32","REP","OPEN","2010","male","0","5.0","republican"
"SCHANZ, BOB","H","MO","7","REP","OPEN","2010","male","0","6.134969325153374","republican"
"SCHENDEL, EDWARD TED","H","MI","2","REP","OPEN","2010","male","0","5.454545454545454","republican"
"SCHERER, THOMAS E MR.","H","KS","3","DEM","OPEN","2010","male","0","16.8","democrat"
"SCHMERLING, EDWARD ","H","CA","32","REP","OPEN","2010","male","0","5.0","republican"
"SCHODORF, JEAN KURTIS","H","KS","4","REP","OPEN","2010","female","1","12.0","republican"
"SCOTT, TIMOTHY E","H","SC","1","REP","OPEN","2010","male","0","7.258064516129033","republican"
"SEALS, DANIEL JOSEPH","H","IL","10","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"SEGAL, DAVID ALAN","H","RI","1","DEM","OPEN","2010","male","0","22.666666666666664","democrat"
"SEITZ, MARK","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"SEWELL, TERRI A.","H","AL","7","DEM","OPEN","2010","female","1","9.523809523809524","democrat"
"SHADWICK, MONTE","H","KS","1","REP","OPEN","2010","male","0","12.0","republican"
"SHELTROWN, JOEL ","H","MI","1","DEM","OPEN","2010","male","0","20.0","democrat"
"SHORT, BRENDA FREEMAN","H","TN","3","DEM","OPEN","2010","female","1","12.121212121212121","democrat"
"SKOCH, BERNARD KURT 'BERNIE'","H","AR","3","REP","OPEN","2010","male","0","9.0","republican"
"SMITH , KIMBERLEE E.","H","TN","8","DEM","OPEN","2010","female","1","12.121212121212121","democrat"
"SMITH, JOHN LEE","H","IN","8","REP","OPEN","2010","male","0","7.000000000000001","republican"
"SMITH, PRINCELLA D","H","AR","1","REP","OPEN","2010","female","1","9.0","republican"
"SMITH, RANDY LEE","H","TN","8","REP","OPEN","2010","male","0","5.05050505050505","republican"
"SMITH, ROBIN TUCKER","H","TN","3","REP","OPEN","2010","female","1","5.05050505050505","republican"
"SMOOT, SHEILA","H","AL","7","DEM","OPEN","2010","female","1","9.523809523809524","democrat"
"SNYDER, JOHN K.","H","IN","8","REP","OPEN","2010","male","0","7.000000000000001","republican"
"SONNER, WESLEY MICHAEL JR","H","NH","2","REP","OPEN","2010","male","0","10.5","republican"
"SPENCER, SCOTT RICHARD","H","DE","0","DEM","OPEN","2010","male","0","12.195121951219512","democrat"
"STATON, BRENT DAVIS","H","TN","3","DEM","OPEN","2010","male","0","12.121212121212121","democrat"
"STEFFEN , PHILLIP J","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"STEINFELS, CRAIG RICHARD","H","TN","8","REP","OPEN","2010","male","0","5.05050505050505","republican"
"STILLINGS, THOMAS F","H","MI","1","REP","OPEN","2010","male","0","5.454545454545454","republican"
"STOCKTON, DANIEL DUANE","H","IN","8","REP","OPEN","2010","male","0","7.000000000000001","republican"
"SUMPTION, MILTON J","H","IL","10","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"SWETT, KATRINA","H","NH","2","DEM","OPEN","2010","female","1","25.25","democrat"
"TEDISCO, JAMES","H","NY","20","REP","OPEN","2010","male","0","4.0","republican"
"THOMPSON, MICHAEL RAY","H","OK","5","REP","OPEN","2010","male","0","8.91089108910891","republican"
"THOMPSON, ROGER","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"THURMOND, PAUL","H","SC","1","REP","OPEN","2010","male","0","7.258064516129033","republican"
"TILLMAN, ROBERT LEON","H","KS","4","DEM","OPEN","2010","male","0","16.8","democrat"
"TOUEY, ELLEN TERESA","H","PA","7","DEM","OPEN","2010","female","1","5.41871921182266","democrat"
"TRACY, JIM","H","TN","6","REP","OPEN","2010","male","0","5.05050505050505","republican"
"TRAVILLIAN, GROVER","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"TRUAX, DAVID ALLEN","H","CA","32","REP","OPEN","2010","male","0","5.0","republican"
"TUDOR, DOUGLAS DAVID","H","FL","12","DEM","OPEN","2010","male","0","12.5","democrat"
"URQUHART, GLEN","H","DE","0","REP","OPEN","2010","male","0","7.317073170731707","republican"
"UVODICH, JEAN ANN","H","KS","3","REP","OPEN","2010","female","1","12.0","republican"
"VAN HAAFTEN, WILLIAM TRENT","H","IN","8","DEM","OPEN","2010","male","0","13.0","democrat"
"VAN KLEECK, MICHAEL","H","MI","3","REP","OPEN","2010","male","0","5.454545454545454","republican"
"VARTANIAN, JOEY","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"VASOVSKI, FRANK MICHAEL","H","SC","3","REP","OPEN","2010","male","0","7.258064516129033","republican"
"VASQUEZ, ISRAEL C","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"VEREEN, RODERICK D","H","FL","17","DEM","OPEN","2010","male","0","12.5","democrat"
"VOLK, JANICE A.","H","NY","29","REP","OPEN","2010","female","1","4.0","republican"
"WADE, KEVIN LYNN","H","DE","0","REP","OPEN","2010","male","0","7.317073170731707","republican"
"WALLACE, DEBBIE D","H","WA","3","DEM","OPEN","2010","female","1","21.428571428571427","democrat"
"WALLACE, SCOTT","H","AR","2","REP","OPEN","2010","male","0","9.0","republican"
"WALLER, MICHELE","H","AL","7","REP","OPEN","2010","female","1","2.857142857142857","republican"
"WALTERS, EDDISON T","H","AL","7","DEM","OPEN","2010","male","0","9.523809523809524","democrat"
"WARDELL, MICHAEL","H","MO","7","REP","OPEN","2010","male","0","6.134969325153374","republican"
"WARING, JAMES F","H","AZ","3","REP","OPEN","2010","male","0","15.0","republican"
"WASINGER, ROBERT K","H","KS","1","REP","OPEN","2010","male","0","12.0","republican"
"WATHEN, ERIC LEE","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"WATTS , BEN","H","TN","8","REP","OPEN","2010","male","0","5.05050505050505","republican"
"WELCH, STEVEN D","H","PA","7","REP","OPEN","2010","male","0","8.866995073891626","republican"
"WERDER, HAROLD DAVID","H","FL","5","DEM","OPEN","2010","male","0","12.5","democrat"
"WESTELL, STEVEN C","H","IN","8","REP","OPEN","2010","male","0","7.000000000000001","republican"
"WESTERLUND, LARRY","H","CA","19","REP","OPEN","2010","male","0","5.0","republican"
"WHITAKER, DAVID JEFFREY","H","AR","3","DEM","OPEN","2010","male","0","16.0","democrat"
"WHITLEY, JOHN MATTHEW","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"WILKINSON, RANDY","H","FL","12","REP","OPEN","2010","male","0","11.666666666666666","republican"
"WILLIAMS, ANDRE LEWIS","H","FL","17","DEM","OPEN","2010","male","0","12.5","democrat"
"WILLS, ROBERT DALE JR","H","AR","2","DEM","OPEN","2010","male","0","16.0","democrat"
"WILSON, FREDERICA S","H","FL","17","DEM","OPEN","2010","female","1","12.5","democrat"
"WINCEL, JEFFREY P","H","MI","2","REP","OPEN","2010","male","0","5.454545454545454","republican"
"WINKLER, EDWIN ROBERT MR","H","AZ","3","REP","OPEN","2010","male","0","15.0","republican"
"WISDOM, JEFFREY FREDERICK","H","MO","7","REP","OPEN","2010","male","0","6.134969325153374","republican"
"WITHINGTON, RICHARD B  ''DICK''","H","SC","1","DEM","OPEN","2010","male","0","6.451612903225806","democrat"
"WITTE, W STOVALL JR","H","SC","1","REP","OPEN","2010","male","0","7.258064516129033","republican"
"WOLFE, JOHN","H","TN","3","DEM","OPEN","2010","male","0","12.121212121212121","democrat"
"WOMACK, STEVE","H","AR","3","REP","OPEN","2010","male","0","9.0","republican"
"WONG, MARGARITA MARIE","H","CA","32","DEM","OPEN","2010","female","1","20.0","democrat"
"WOODALL, ROB","H","GA","7","REP","OPEN","2010","male","0","6.111111111111111","republican"
"WOOLRIDGE, TYMOTHE (TIM) LYNN","H","AR","1","DEM","OPEN","2010","male","0","16.0","democrat"
"YODER, KEVIN W","H","KS","3","REP","OPEN","2010","male","0","12.0","republican"
"YOUNG, R MICHAEL","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"ZELENIK, LOU ANN","H","TN","6","REP","OPEN","2010","female","1","5.05050505050505","republican"
"ZELLER, MATTHEW","H","NY","29","DEM","OPEN","2010","male","0","23.333333333333332","democrat"
"ABARR, JOHN ALLEN","H","MT","0","DEM","OPEN","2012","male","0","19.0","democrat"
"ADAMS JR., EDDIE","H","FL","14","REP","OPEN","2012","male","0","12.5","republican"
"ADAMS, KIRK DAVID","H","AZ","5","REP","OPEN","2012","male","0","20.0","republican"
"ADAMS, SUSAN L","H","CA","2","DEM","OPEN","2012","female","1","20.0","democrat"
"ADKINS, WILLIAM R. BILL","H","KY","4","DEM","OPEN","2012","male","0","11.0","democrat"
"ADLER, DANIEL H","H","CA","36","DEM","OPEN","2012","male","0","20.0","democrat"
"AHMED, SABA","H","OR","1","DEM","OPEN","2012","female","1","20.0","democrat"
"AKHLAGHI, BANAFSHEH","H","CA","2","DEM","OPEN","2012","female","1","20.0","democrat"
"ALVARADO, MARIA LUISA","H","TX","35","DEM","OPEN","2012","female","1","8.666666666666668","democrat"
"ANDERS, GREG","H","WA","1","REP","OPEN","2012","male","0","10.204081632653061","republican"
"ANDERSON, DIANA","H","NV","4","REP","OPEN","2012","female","1","2.380952380952381","republican"
"ANDERSON, JASON PATRICK","H","IN","5","REP","OPEN","2012","male","0","10.0","republican"
"ANDERSON, JOHN DAVID","H","OH","10","REP","OPEN","2012","male","0","11.11111111111111","republican"
"ANDREWS, GREGORY A MD","H","IN","2","REP","OPEN","2012","male","0","10.0","republican"
"ARNOLD-JONES, JANICE E","H","NM","1","REP","OPEN","2012","female","1","11.428571428571429","republican"
"AUBUCHON, GARY","H","FL","19","REP","OPEN","2012","male","0","12.5","republican"
"AVAKIAN, BRAD","H","OR","1","DEM","OPEN","2012","male","0","20.0","democrat"
"BAKER, JAMES O","H","MO","2","REP","OPEN","2012","male","0","11.042944785276074","republican"
"BARBER, RONALD","H","AZ","2","DEM","OPEN","2012","male","0","11.666666666666666","democrat"
"BARRY, DANIEL B","H","NC","9","REP","OPEN","2012","male","0","10.833333333333334","republican"
"BATES, DON JR","H","IN","6","REP","OPEN","2012","male","0","10.0","republican"
"BAY, GEORGE S","H","NV","2","DEM","OPEN","2012","male","0","26.190476190476193","democrat"
"BENTIVOLIO, KERRY","H","MI","11","REP","OPEN","2012","male","0","10.0","republican"
"BENTON, C DAN","H","FL","14","REP","OPEN","2012","male","0","12.5","republican"
"BERNIER, JUSTIN","H","CT","5","REP","OPEN","2012","male","0","9.933774834437086","republican"
"BERNIER, NICHOLAS DENNIS","H","MA","4","DEM","OPEN","2012","male","0","20.0","democrat"
"BERRY, BRIAN","H","WA","1","DEM","OPEN","2012","male","0","19.387755102040817","democrat"
"BERRYHILL, MICHAEL CLARE SR","H","CA","18","REP","OPEN","2012","male","0","7.5","republican"
"BIELAT, SEAN","H","MA","4","REP","OPEN","2012","male","0","3.75","republican"
"BOBKO, PATRICK KIT","H","CA","36","REP","OPEN","2012","male","0","7.5","republican"
"BOLLING, DANIEL WADE","H","IN","6","DEM","OPEN","2012","male","0","11.0","democrat"
"BOOKOUT, BRADLEY T","H","IN","6","DEM","OPEN","2012","male","0","11.0","democrat"
"BOTHWELL, CECIL","H","NC","11","DEM","OPEN","2012","male","0","19.166666666666668","democrat"
"BOWEN, DEBRA","H","CA","36","DEM","OPEN","2012","female","1","20.0","democrat"
"BRADLEY, CHARLES WAYNE","H","TX","33","REP","OPEN","2012","male","0","12.666666666666668","republican"
"BREEN, EDWARD FOCKE","H","OH","10","REP","OPEN","2012","male","0","11.11111111111111","republican"
"BRODHEAD, STEPHAN ANDREW","H","OR","1","REP","OPEN","2012","male","0","8.333333333333332","republican"
"BROOKS, JOHN L II","H","CA","51","DEM","OPEN","2012","male","0","20.0","democrat"
"BROOKS, SUSAN MRS.","H","IN","5","REP","OPEN","2012","female","1","10.0","republican"
"BROSTEN, ERIC","H","MT","0","REP","OPEN","2012","male","0","9.0","republican"
"BROWER, GREG","H","NV","2","REP","OPEN","2012","male","0","2.380952380952381","republican"
"BROWN, RACHEL","H","MA","4","DEM","OPEN","2012","female","1","20.0","democrat"
"BURNER, DARCY","H","WA","1","DEM","OPEN","2012","female","1","19.387755102040817","democrat"
"CAFFREY, ANDREW AUGUSTINE IV","H","CA","2","DEM","OPEN","2012","male","0","20.0","democrat"
"CAMPBELL, CHARLES SPENCER JR","H","NC","11","REP","OPEN","2012","male","0","10.833333333333334","republican"
"CAREY, MARC","H","KY","4","REP","OPEN","2012","male","0","9.0","republican"
"CASSIS, NANCY","H","MI","11","REP","OPEN","2012","female","1","10.0","republican"
"CASTILLE, KALIKO","H","OR","1","DEM","OPEN","2012","female","1","20.0","democrat"
"CASTRO, JOAQUIN MR.","H","TX","20","DEM","OPEN","2012","male","0","8.666666666666668","democrat"
"CEGAVSKE, BARBARA","H","NV","4","REP","OPEN","2012","female","1","2.380952380952381","republican"
"CHAPMAN, DAVE","H","CA","18","DEM","OPEN","2012","male","0","20.0","democrat"
"CHAVEZ, MARTY","H","NM","1","DEM","OPEN","2012","male","0","17.142857142857142","democrat"
"CHILDS, ELIZABETH","H","MA","4","REP","OPEN","2012","female","1","3.75","republican"
"CLARK, MICHAEL","H","CT","5","REP","OPEN","2012","male","0","9.933774834437086","republican"
"CLARKE, JEROME","H","IL","13","REP","OPEN","2012","male","0","9.322033898305085","republican"
"CLOUD, DOUGLAS RICHARD MR.","H","WA","6","REP","OPEN","2012","male","0","10.204081632653061","republican"
"COBB, JAMES JAY FRANCIS","H","UT","4","REP","OPEN","2012","male","0","5.333333333333334","republican"
"COBLE, PAUL","H","NC","13","REP","OPEN","2012","male","0","10.833333333333334","republican"
"COCHRANE, TIMOTHY J","H","NY","9","REP","OPEN","2012","male","0","4.666666666666667","republican"
"CONTRERAS, MARK ANTHONY","H","CA","36","DEM","OPEN","2012","male","0","20.0","democrat"
"COOK, RODGER","H","IL","12","REP","OPEN","2012","male","0","9.322033898305085","republican"
"CORN, KENNETH RAY","H","OK","2","DEM","OPEN","2012","male","0","3.9603960396039604","democrat"
"CORNILLES, ROBERT","H","OR","1","REP","OPEN","2012","male","0","8.333333333333332","republican"
"CORWIN, JANE","H","NY","26","REP","OPEN","2012","female","1","4.666666666666667","republican"
"COTTON, THOMAS","H","AR","4","REP","OPEN","2012","male","0","11.0","republican"
"COURTNEY, WILLIAM L","H","CA","2","DEM","OPEN","2012","male","0","20.0","democrat"
"COWART, JOHN DAVID","H","AR","4","REP","OPEN","2012","male","0","11.0","republican"
"CRAMER, KEVIN","H","ND","0","REP","OPEN","2012","male","0","12.76595744680851","republican"
"CRIDER, KENNETH","H","MI","11","REP","OPEN","2012","male","0","10.0","republican"
"CRIMMINS, MICHAEL ","H","CA","51","REP","OPEN","2012","male","0","7.5","republican"
"CRONE, JAMES ALAN","H","IN","6","DEM","OPEN","2012","male","0","11.0","democrat"
"CROWLEY, KAWIKA","H","HI","2","REP","OPEN","2012","female","1","7.8431372549019605","republican"
"DAILEY, LINDA","H","TX","14","DEM","OPEN","2012","female","1","8.666666666666668","democrat"
"DAINES, STEVEN","H","MT","0","REP","OPEN","2012","male","0","9.0","republican"
"DANKS BURKE, LESLIE","H","NY","23","DEM","OPEN","2012","female","1","19.333333333333332","democrat"
"DAVIDOW, JOSEPH ASHER","H","FL","19","REP","OPEN","2012","male","0","12.5","republican"
"DAVIS, JACK","H","NY","26","REP","OPEN","2012","male","0","4.666666666666667","republican"
"DAVIS, RODNEY L","H","IL","13","REP","OPEN","2012","male","0","9.322033898305085","republican"
"DAY, TIMOTHY TERREL","H","TX","14","REP","OPEN","2012","male","0","12.666666666666668","republican"
"DEHNE, CHAD","H","NV","2","DEM","OPEN","2012","male","0","26.190476190476193","democrat"
"DEL CASTILLO, RAFAEL GOODWIN","H","HI","2","DEM","OPEN","2012","male","0","27.450980392156865","democrat"
"DELAROSA, MIKE","H","NV","4","REP","OPEN","2012","male","0","2.380952380952381","republican"
"DIGERONIMO, MATTHEW","H","HI","2","REP","OPEN","2012","male","0","7.8431372549019605","republican"
"DONALDS, BYRON","H","FL","19","REP","OPEN","2012","male","0","12.5","republican"
"DONOVAN, CHRISTOPHER G","H","CT","5","DEM","OPEN","2012","male","0","21.192052980132452","democrat"
"DOYLE, JERRY L","H","TX","36","REP","OPEN","2012","male","0","12.666666666666668","republican"
"DRISCOLL, BILL","H","WA","6","REP","OPEN","2012","male","0","10.204081632653061","republican"
"DUCHENY, DENISE MORENO","H","CA","51","DEM","OPEN","2012","female","1","20.0","democrat"
"DULIN, ANDY T","H","NC","9","REP","OPEN","2012","male","0","10.833333333333334","republican"
"EDWARDS, CHRISTOPHER","H","NV","1","REP","OPEN","2012","male","0","2.380952380952381","republican"
"EICHENBAUM, DAN DR","H","NC","11","REP","OPEN","2012","male","0","10.833333333333334","republican"
"EICHNER, DAVID MICHAEL  IKE","H","WA","6","REP","OPEN","2012","male","0","10.204081632653061","republican"
"EISELE, STEPHEN KARL","H","CA","36","REP","OPEN","2012","male","0","7.5","republican"
"ENGEL, TOM","H","NY","22","REP","OPEN","2012","male","0","4.666666666666667","republican"
"ENYART, WILLIAM L JR","H","IL","12","DEM","OPEN","2012","male","0","23.728813559322035","democrat"
"ESTY, ELIZABETH","H","CT","5","DEM","OPEN","2012","female","1","21.192052980132452","democrat"
"EVERETT, EARL EARL","H","OK","2","DEM","OPEN","2012","male","0","3.9603960396039604","democrat"
"FARREN, MARTIN BENJAMIN","H","MA","4","DEM","OPEN","2012","male","0","20.0","democrat"
"FAUGHT, GEORGE E","H","OK","2","REP","OPEN","2012","male","0","9.900990099009901","republican"
"FAULK, JOHN M SR.","H","TX","14","REP","OPEN","2012","male","0","12.666666666666668","republican"
"FEIKES, MITCH","H","IN","2","REP","OPEN","2012","male","0","10.0","republican"
"FELTON, GUY","H","NV","2","REP","OPEN","2012","male","0","2.380952380952381","republican"
"FLYNN, DENNIS R","H","NJ","10","DEM","OPEN","2012","male","0","18.75","democrat"
"FRANK, GREG","H","KY","4","DEM","OPEN","2012","male","0","11.0","democrat"
